"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million"
"76","GIB","Europe","Gibraltar","2020-10-20",577,6,13,NA,0,0,17126.235,178.089,385.86,NA,0,0
"77","GRC","Europe","Greece","2020-10-20",25802,432,450,520,11,9.143,2475.474,41.447,43.174,49.889,1.055,0.877
"78","GRL","North America","Greenland","2020-10-20",16,0,0,NA,0,0,281.829,0,0,NA,0,0
"79","GRD","North America","Grenada","2020-10-20",27,0,0.286,NA,0,0,239.959,0,2.539,NA,0,0
"80","GUM","Oceania","Guam","2020-10-20",3756,81,83.714,66,0,0.857,22253.426,479.906,495.988,391.035,0,5.078
"81","GTM","North America","Guatemala","2020-10-20",101599,239,539,3541,11,22,5670.99,13.34,30.086,197.649,0.614,1.228
"82","GGY","Europe","Guernsey","2020-10-20",258,0,0,13,0,0,3847.76,0,0,193.879,0,0
"83","GIN","Africa","Guinea","2020-10-20",11518,0,65.143,70,0,0,877.041,0,4.96,5.33,0,0
"84","GNB","Africa","Guinea-Bissau","2020-10-20",2389,0,0.571,41,0,0.143,1213.924,0,0.29,20.833,0,0.073
"85","GUY","South America","Guyana","2020-10-20",3765,31,34.857,111,2,1,4786.672,39.412,44.316,141.121,2.543,1.271
"86","HTI","North America","Haiti","2020-10-20",8976,51,13.429,231,0,0.143,787.194,4.473,1.178,20.259,0,0.013
"87","HND","North America","Honduras","2020-10-20",89381,956,709.714,2576,8,7.857,9024.183,96.521,71.655,260.081,0.808,0.793
"88","HKG","Asia","Hong Kong","2020-10-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","HUN","Europe","Hungary","2020-10-20",48757,989,1270.714,1211,38,30.714,5047.126,102.377,131.539,125.358,3.934,3.179
"90","ISL","Europe","Iceland","2020-10-20",4101,46,74.143,11,0,0.143,12017.582,134.799,217.268,32.234,0,0.419
"91","IND","Asia","India","2020-10-20",7597063,46790,60169,115197,587,763,5505.101,33.906,43.601,83.476,0.425,0.553
"92","IDN","Asia","Indonesia","2020-10-20",365240,3373,4074.857,12617,106,97.429,1335.314,12.332,14.898,46.128,0.388,0.356
"93","IRN","Asia","Iran","2020-10-20",534631,4251,4335.714,30712,337,270.857,6365.189,50.611,51.62,365.65,4.012,3.225
"94","IRQ","Asia","Iraq","2020-10-20",430678,4044,3605.857,10317,63,57.857,10707.389,100.541,89.648,256.498,1.566,1.438
"95","IRL","Europe","Ireland","2020-10-20",50993,1031,1091.714,1852,0,3.571,10327.077,208.798,221.093,375.066,0,0.723
"96","IMN","Europe","Isle of Man","2020-10-20",348,0,0.286,24,0,0,4092.577,0,3.36,282.247,0,0
"97","ISR","Asia","Israel","2020-10-20",304876,1030,1405.571,2263,54,34.571,35223.217,118.999,162.39,261.451,6.239,3.994
"98","ITA","Europe","Italy","2020-10-20",423578,9337,9144.143,36616,73,58.714,7005.709,154.428,151.238,605.605,1.207,0.971
"99","JAM","North America","Jamaica","2020-10-20",8321,47,72.571,173,2,3.857,2810.046,15.872,24.508,58.423,0.675,1.303
"100","JPN","Asia","Japan","2020-10-20",93480,353,543.857,1676,2,6,739.11,2.791,4.3,13.251,0.016,0.047
"101","JEY","Europe","Jersey","2020-10-20",509,19,4.286,32,0,0,5035.964,187.983,42.402,316.603,0,0
"102","JOR","Asia","Jordan","2020-10-20",38937,1364,1837.714,380,35,24.714,3816.178,133.684,180.113,37.243,3.43,2.422
"103","KAZ","Asia","Kazakhstan","2020-10-20",145603,130,255.571,2155,5,5.571,7754.448,6.923,13.611,114.77,0.266,0.297
"104","KEN","Africa","Kenya","2020-10-20",45076,195,493.857,839,7,8.857,838.291,3.626,9.184,15.603,0.13,0.165
"105","OWID_KOS","Europe","Kosovo","2020-10-20",17009,118,108.857,656,3,1.143,8800.305,61.052,56.322,339.409,1.552,0.591
"106","KWT","Asia","Kuwait","2020-10-20",116832,686,705.571,710,9,6.571,27357.517,160.635,165.217,166.254,2.107,1.539
"107","KGZ","Asia","Kyrgyzstan","2020-10-20",52910,384,434.143,1113,2,3,8109.818,58.858,66.544,170.596,0.307,0.46
"108","LAO","Asia","Laos","2020-10-20",23,0,0,NA,0,0,3.161,0,0,NA,0,0
