Z1,Z2,y
9.267718077,-2.141089727,1
0.13869022,14.71869123,2
-17.95939404,-2.531348657,0
-11.2947805,1.05811229,0
8.547385695,-3.378833259,1
-2.536590293,-2.659900825,2
-8.45457185,4.94842195,0
8.620216209,-2.507491188,1
7.519954584,-2.774977273,1
0.95001601,-4.422114757,2
2.570662462,21.25707084,2
9.144900268,-4.917928173,1
-2.402563494,3.379223823,2
8.327159193,-4.262387272,1
8.175694503,-2.290083229,1
-0.601682882,-5.812624101,0
-10.84461165,-6.926812607,0
8.359935614,-4.609846205,1
-6.570683536,-4.800761817,0
1.286495643,6.9688457,2
3.405381082,5.936203182,2
8.434274131,-4.467155758,1
4.345200172,11.61573347,2
9.48856686,-3.265342083,1
8.690490399,-4.715497211,1
-0.152163497,4.316290231,2
9.669818542,-3.628403899,1
9.650540746,-3.193514993,1
6.596499938,-2.292169609,1
-4.970236522,1.116567653,0
3.10901216,7.794630221,2
0.302181202,13.03252633,2
-5.769135927,1.951547251,2
7.448591641,-2.971106648,1
-7.515504533,4.89072692,0
4.678893845,1.885266963,1
-14.80901847,-8.880729193,0
-5.524662948,13.79477959,2
-16.81375633,-10.04085367,0
5.274060197,4.606322254,2
-13.17459342,7.519700353,2
8.276803788,-5.236669989,1
-6.266464067,16.79410191,2
-13.47486986,1.788068835,0
6.458798386,-2.038396895,1
1.038723163,12.91305548,2
8.599059637,-5.139652268,1
7.559257711,-3.609412099,1
-14.22957773,-8.072512736,0
5.58929298,0.783318816,2
9.312741753,-4.611724006,1
5.217511403,-1.138622762,1
5.156223053,2.606259403,2
9.221443011,-5.655042269,1
-4.814162803,-4.876762621,0
9.011869885,-4.804868034,1
2.706368845,2.797479852,2
-12.4266036,11.02529414,0
3.689713237,8.626756,2
8.031277862,-4.852361934,1
7.774215978,-4.523881406,1
-1.237018269,9.658623903,2
-12.43822476,-6.384181359,0
-13.35923109,-5.372118734,0
6.389606234,-2.574760225,1
-13.92290288,2.901947933,0
7.525462077,-3.586385004,1
0.159374078,9.218751482,2
-8.052897702,-2.846538336,0
-11.48090381,-3.466954504,0
9.910218326,-1.915169946,1
3.018662089,1.229903254,2
-8.777552148,1.473556159,0
-6.616606414,1.006143011,0
1.267491209,17.81086356,2
7.799203843,-2.968120064,1
8.689306291,-3.433167826,1
8.39466205,-2.868847546,1
-3.288843444,3.53645221,2
-18.21389643,-6.985161829,0
-11.80820601,-1.89977411,0
8.73153305,-3.181275416,1
9.138548952,-3.012260291,1
-1.368499738,7.725210083,2
8.956018852,-4.737546443,1
0.636615889,8.631468661,2
9.812790698,-3.312753062,1
0.184587166,0.01207295,0
-15.91886715,0.346181422,0
9.150157668,-2.415432289,1
-20.48076447,-6.291567031,0
0.131556006,4.870726754,2
-4.219434335,-2.880103392,0
-5.513895221,1.835852563,0
-11.74536657,-11.74561249,0
8.275164614,-2.073334374,1
-16.26321791,7.04770172,0
1.280444987,1.483455513,0
-15.60395492,-5.797243482,0
2.081327247,6.655908154,2
6.05647113,-1.57327045,1
5.656884424,7.285204191,2
-11.74564149,-8.17074051,0
3.054580194,2.463452336,2
8.068076048,-3.403534473,1
1.842024876,10.75905423,2
-18.16257599,-7.39678304,0
3.107562606,4.916579355,2
-5.878723742,-2.005465932,2
-12.60888757,-10.3116656,0
0.368095348,-0.310485528,2
4.840351719,2.181913306,2
8.724616734,-4.636506335,1
8.344290314,-4.998008004,1
2.140703316,-4.279510052,0
-2.566544563,9.149755526,2
-5.92886482,-6.548183367,0
-15.99623624,-4.231504348,0
8.646160442,-5.16019062,1
0.369341277,2.692071486,2
-11.31633369,-2.554424886,0
8.668261566,-4.534703608,1
-7.279726054,0.729137178,0
7.011279437,4.085409352,2
8.250421967,-3.822735775,1
-0.070730978,11.18353331,2
-13.87386813,-6.780797505,0
-1.432225534,-1.076805747,2
-3.628661798,6.718802701,2
3.533679367,3.349163775,2
-17.38782051,-3.499951033,0
-3.787043398,5.86027296,2
9.413869204,-4.074588395,1
-16.89732183,2.109871252,0
5.439340055,11.42259164,2
8.386385204,-3.334176567,1
-6.425938463,-4.648006019,0
